sample_no,time,current
0,0.0,3.53817e-07
1,5e-10,3.53817e-07
2,1e-09,3.53817e-07
3,1.5e-09,3.53817e-07
4,2e-09,3.53817e-07
5,2.5e-09,3.53817e-07
6,3e-09,3.53817e-07
7,3.5e-09,3.53817e-07
8,4e-09,3.53817e-07
9,4.5e-09,0.000172607
10,5e-09,0.00123645
11,5.5e-09,2.96883e-06
12,6e-09,3.53817e-07
13,6.5e-09,3.53817e-07
14,7e-09,3.53817e-07
15,7.5e-09,3.53817e-07
16,8e-09,3.53817e-07
17,8.5e-09,3.53817e-07
18,9e-09,3.53817e-07
19,9.5e-09,0.000132731
20,1e-08,0.000910655
21,1.05e-08,3.53817e-07
22,1.1e-08,3.53817e-07
23,1.15e-08,3.53817e-07
24,1.2e-08,3.53817e-07
25,1.25e-08,3.53817e-07
26,1.3e-08,3.53817e-07
27,1.35e-08,3.53817e-07
28,1.4e-08,3.53817e-07
29,1.45e-08,8.65542e-05
30,1.5e-08,0.000692336
31,1.55e-08,3.53817e-07
32,1.6e-08,3.53817e-07
33,1.65e-08,3.53817e-07
34,1.7e-08,3.53817e-07
35,1.75e-08,3.53817e-07
36,1.8e-08,3.53817e-07
37,1.85e-08,3.53817e-07
38,1.9e-08,3.53817e-07
39,1.95e-08,0.000137535
40,2e-08,0.000921128
41,2.05e-08,3.53817e-07
42,2.1e-08,3.53817e-07
43,2.15e-08,3.53817e-07
44,2.2e-08,3.53817e-07
45,2.25e-08,3.53817e-07
46,2.3e-08,3.53817e-07
47,2.35e-08,3.53817e-07
48,2.4e-08,3.53817e-07
49,2.45e-08,8.66082e-05
50,2.5e-08,0.000702304
51,2.55e-08,5.65717e-07
52,2.6e-08,3.53817e-07
53,2.65e-08,3.53817e-07
54,2.7e-08,3.53817e-07
55,2.75e-08,3.53817e-07
56,2.8e-08,3.53817e-07
57,2.85e-08,3.53817e-07
58,2.9e-08,3.53817e-07
59,2.95e-08,0.000164117
60,3e-08,0.000992921
61,3.05e-08,3.53817e-07
62,3.1e-08,3.53817e-07
63,3.15e-08,3.53817e-07
64,3.2e-08,3.53817e-07
65,3.25e-08,3.53817e-07
66,3.3e-08,3.53817e-07
67,3.35e-08,3.53817e-07
68,3.4e-08,3.53817e-07
69,3.45e-08,8.65507e-05
70,3.5e-08,0.000692339
71,3.55e-08,3.53817e-07
72,3.6e-08,3.53817e-07
73,3.65e-08,3.53817e-07
74,3.7e-08,3.53817e-07
75,3.75e-08,3.53817e-07
76,3.8e-08,3.53817e-07
77,3.85e-08,3.53817e-07
78,3.9e-08,3.53817e-07
79,3.95e-08,0.000382719
80,4e-08,0.00154343
81,4.05e-08,3.53817e-07
82,4.1e-08,3.53817e-07
83,4.15e-08,3.53817e-07
84,4.2e-08,3.53817e-07
85,4.25e-08,3.53817e-07
86,4.3e-08,3.53817e-07
87,4.35e-08,3.53817e-07
88,4.4e-08,3.53817e-07
89,4.45e-08,0.000348712
90,4.5e-08,0.00208418
91,4.55e-08,2.40882e-05
92,4.6e-08,3.53817e-07
93,4.65e-08,3.53817e-07
94,4.7e-08,3.53817e-07
95,4.75e-08,3.53817e-07
96,4.8e-08,3.53817e-07
97,4.85e-08,3.53817e-07
98,4.9e-08,3.53817e-07
99,4.95e-08,0.000130322
100,5e-08,0.000914175
101,5.05e-08,3.53817e-07
102,5.1e-08,3.53817e-07
103,5.15e-08,3.53817e-07
104,5.2e-08,3.53817e-07
105,5.25e-08,3.53817e-07
106,5.3e-08,3.53817e-07
107,5.35e-08,3.53817e-07
108,5.4e-08,3.53817e-07
109,5.45e-08,0.000302379
110,5.5e-08,0.00199961
111,5.55e-08,2.40346e-05
112,5.6e-08,3.53817e-07
113,5.65e-08,3.53817e-07
114,5.7e-08,3.53817e-07
115,5.75e-08,3.53817e-07
116,5.8e-08,3.53817e-07
117,5.85e-08,3.53817e-07
118,5.9e-08,3.53817e-07
119,5.95e-08,0.000130319
120,6e-08,0.000914177
121,6.05e-08,3.53817e-07
122,6.1e-08,3.53817e-07
123,6.15e-08,3.53817e-07
124,6.2e-08,3.53817e-07
125,6.25e-08,3.53817e-07
126,6.3e-08,3.53817e-07
